date;5y Note;2y Note;10y Note;30y Bond;10y Note Ultra;30y Bond Ultra
2023-10-19;89.6655422889;93.9954868883;86.8185677774;78.2306848453;83.9732075744;67.2721261583
2023-10-20;90.0362972915;94.1443805622;87.2946737516;78.6840643846;84.423278534;67.4427814304
2023-10-23;90.2654627364;94.1879591985;87.6935733516;79.7721752789;85.0071859359;68.5618081429
2023-10-24;90.1374153558;94.108065032;87.5906315193;79.7947989179;84.9706673938;68.9031945506
2023-10-25;89.834054421;94.0281708655;87.0244514419;78.6387264306;84.2043497524;67.4997170968
2023-10-26;90.2249912438;94.1625383273;87.5777637903;79.70412301;84.9342340049;68.6565997688
2023-10-27;90.3261160493;94.2061169636;87.6421024354;79.4320952865;84.9220084437;68.2962853814
2023-10-30;90.211536697;94.1552752213;87.474821958;79.2734577857;84.7152322349;68.1824899122
2023-10-31;90.1441493704;94.0935388199;87.4362187709;79.3867573325;84.727372643;68.3152133611
2023-11-01;90.555281495;94.2751164711;88.0023988483;80.1121645954;85.311280045;68.8273309045
2023-11-02;90.7507970913;94.260590259;88.5171080096;81.6083170751;86.1142013816;70.5152590996
2023-11-03;91.2765961985;94.5075358645;89.2377008354;82.4471145608;86.8805920114;71.3687630506
2023-11-06;90.8316389656;94.3150635543;88.6071821128;81.5856934361;86.1384821977;70.3446038275
2023-11-07;91.0743533279;94.3586421906;89.0446848999;82.6738043305;86.7832741111;71.4825585198
2023-11-08;91.0945418894;94.3223266603;89.2119653773;83.2858213706;87.0873803849;72.3739184303
2023-11-09;90.6968710519;94.1770645394;88.5557111967;81.9483970676;86.2358000981;70.9704409765
2023-11-10;90.5822849593;94.104433479;88.4656370935;82.2430484302;86.2601782321;71.3308312275
2023-11-13;90.5957462464;94.1334859032;88.4785048225;82.1750868372;86.2115192819;71.2170357583
2023-11-14;91.4720241654;94.5184305236;89.6880713515;83.7392009099;87.5253109364;72.7343086814
2023-11-15;91.0878078748;94.3404844255;89.1218912741;82.8777797852;86.8683664502;71.8618767506
2023-11-16;91.4316403022;94.4675887813;89.6494681644;83.648525002;87.5131583636;72.6963768583
2023-11-17;91.2967847591;94.3550106376;89.5593940612;83.7165772709;87.5131583636;72.9049639534
2023-11-20;91.3372495113;94.3477475315;89.6366004354;84.0112286335;87.6347692448;73.208418538
2023-11-21;91.4113641113;94.3985892738;89.7138068096;83.8752147717;87.6712877869;73.0946230688
2023-11-22;91.3169733205;94.3513790845;89.6108649773;84.0565665874;87.6712877869;73.4929451429
2023-11-24;91.0955552936;94.2573567835;89.2646790631;83.3089389366;87.1737843737;72.6835061943
2023-11-27;91.4176373983;94.3803090233;89.7519036831;84.1698956834;87.8290014039;73.718845589
2023-11-28;91.8403835809;94.6117485335;90.1750198004;84.3964632483;88.2051287862;73.8883085737
2023-11-29;92.0752015658;94.7780956815;90.5212057147;85.144090899;88.7025594028;74.867210507
2023-11-30;91.773303273;94.6406784723;90.0980895973;84.4190746913;88.1444043725;74.0953463326
2023-12-01;92.3101067809;94.9155128907;90.8161048268;85.6652416119;89.0058538869;75.2813613249
2023-12-04;91.9947212999;94.7455495004;90.4186321104;85.234717925;88.556966403;74.9989481172
2023-12-05;92.3570837974;94.8901991943;91.0212520352;86.5715118716;89.4062103709;76.6367640017
2023-12-06;92.3905803363;94.8323393167;91.2007558425;87.4097665483;89.7823498859;77.7097534708
2023-12-07;92.4308674396;94.8757342249;91.2135775431;87.1831989834;89.733818886;77.4462029503
2023-12-08;91.8671767864;94.5828185948;90.4827406131;86.2769287237;88.8845627853;76.3920008683
2023-12-11;91.8739606403;94.5900510795;90.5340274152;86.2769287237;88.9452144025;76.3355634069
2023-12-12;91.9678408642;94.564737383;90.7135312225;86.6394368275;89.1635553712;76.7120641504
2023-12-13;92.8133265189;95.0312326458;91.8161974678;88.202798339;90.4132528851;78.3121546605
2023-12-14;93.1555052054;95.1831148244;92.3290654888;89.4941881456;91.1533263687;79.9123204707
2023-12-15;93.0683283157;95.0601625846;92.2393135852;89.7434577805;91.1533263687;80.2511711399
2023-12-18;92.9810641951;95.0565463423;92.1110965799;89.3582476066;90.9835163999;79.7240700989
2023-12-19;93.0481445038;95.0890925234;92.2649569862;89.6528307546;91.2261713996;80.1382209168
2023-12-20;93.262865907;95.2084285209;92.5470343978;90.1738908404;91.5415743682;80.4958589731
2023-12-21;93.249465949;95.2445909443;92.4572824941;89.8793983195;91.4081747821;80.1570083039
2023-12-22;93.2226727444;95.251823429;92.3931739915;89.7434577805;91.2989193685;79.837020322
2023-12-26;93.2763530951;95.2445909443;92.4957475957;90.0832638144;91.4688263993;80.1193582296
2023-12-27;93.56485143;95.3313807607;92.9957939162;91.261415152;92.1603688829;81.4747609064
2023-12-28;93.3501300268;95.2554396714;92.6367863015;90.7176529962;91.711481399;80.797059568
2023-12-29;93.4239069594;95.3132995489;92.6367863015;90.5817124572;91.6386363681;80.477071586
2024-01-02;93.0549283577;95.1650336127;92.1495616815;89.7660692235;90.9956248844;79.5734698015
2024-01-03;93.1622890593;95.1794985821;92.3290654888;89.9926367884;91.2747023995;79.8934577834
2024-01-04;92.8536069126;95.0529300999;91.893127671;89.0637550858;90.6559078848;78.8204683144
2024-01-05;92.732846253;95.0276164035;91.675158762;88.4746794169;90.3040824008;78.04860414
2024-01-08;92.9340871785;95.1144062198;91.9444144731;88.8371875208;90.5588458849;78.4251048835
2024-01-09;92.8536069126;95.0601625846;91.8290191683;88.7465604949;90.4375547833;78.2368545118
2024-01-10;92.8402069546;95.063778827;91.8033757673;88.5653064429;90.3526134007;77.9921666785
2024-01-11;93.1823923507;95.2626721561;92.1880267831;88.9731280598;90.728740783;78.2180671247
2024-01-12;93.4239069594;95.4615654852;92.3931739915;89.0863665287;90.910671369;78.04860414
2024-01-16;93.0213512983;95.3024508219;91.7777323662;87.7722746522;90.08564437;76.5802512401
2024-01-17;92.6723820483;95.0601625846;91.431546452;87.5684091572;89.8066517841;76.4861637043
2024-01-18;92.591908492;95.0601625846;91.2520426446;86.9340199755;89.5275864017;75.7142995299
2024-01-19;92.4845477904;94.9589077989;91.187934142;87.0019449314;89.5032723708;75.9214125889
2024-01-22;92.6723820483;95.0131514341;91.4956549546;87.5230956443;89.8551827841;76.4108635556
2024-01-23;92.5516213887;94.9950702224;91.2648643452;86.8660043925;89.5275864017;75.6202119941
2024-01-24;92.4174674825;94.9444428295;91.0597171368;86.4355713326;89.2606173711;75.2437112505
2024-01-25;92.6254855514;95.0601625846;91.3417945483;86.8660043925;89.5882258862;75.6955121428
2024-01-26;92.4576606451;94.9589077989;91.1110039389;86.6847503405;89.357679371;75.5825619197
2024-01-29;92.7059658173;95.0384651305;91.5084766552;87.3871551053;89.8551827841;76.3167007196
2024-01-30;92.6589820903;94.9697565259;91.5982285589;87.9082151911;90.0978377838;77.0320521324
2024-01-31;93.0951282309;95.1939635515;92.1752050825;88.7012469819;90.7529698847;77.8415663811
2024-02-01;93.3635299848;95.2445909443;92.6367863015;89.9247118325;91.4930433682;79.3287066681
2024-02-02;92.6321888856;94.9227453754;91.6238719599;88.384052391;90.2555514008;77.6909660837
2024-02-05;92.1691623094;94.7491657427;90.9058567304;87.0925719574;89.2970398865;76.1473130351
2024-02-06;92.4509640214;94.8540367708;91.3161511473;87.7269611392;89.8066517841;76.7873642991
2024-02-07;92.3838837126;94.8287230744;91.2392209441;87.6137226702;89.6731794016;76.6367640017
2024-02-08;92.1490657285;94.7600144698;90.8802133294;86.7753773665;89.1635553712;75.8084623659
2024-02-09;92.0282178388;94.6913058652;90.7391746236;86.7300638535;89.0179623714;75.8084623659
2024-02-12;92.1154819586;94.7093870769;90.8545699283;86.8887064625;89.127217785;75.9214125889
2024-02-13;91.4109407746;94.3658440539;89.9570508915;85.5293010729;88.0958733726;74.6600974479
2024-02-14;91.6659425714;94.4924125361;90.2775934047;85.9371226898;88.4477837859;74.9236479684
2024-02-15;91.7665999387;94.5249587172;90.4058104099;86.1863016977;88.6176058874;75.2813613249
2024-02-16;91.4847177071;94.387541508;90.0596244957;85.7105551249;88.1929353724;74.8859978941
2024-02-20;91.6256621777;94.4634825973;90.213484902;85.7784800808;88.3264198878;74.8859978941
2024-02-21;91.4377339801;94.3911577504;89.9570508915;85.348047021;87.9988113727;74.340109466
